L1_ASSOC,L2_ASSOC,L1_INSTRUCTION_CACHE_HITS,L1_INSTRUCTION_CACHE_HIT_RATE,L1_DATA_CACHE_HITS,L1_DATA_CACHE_HIT_RATE,L2_CACHE_HITS,L2_CACHE_HIT_RATE,L1_INSTRUCTION_CACHE_MISSES,L1_INSTRUCTION_CACHE_MISS_RATE,L1_DATA_CACHE_MISSES,L1_DATA_CACHE_MISS_RATE,L2_CACHE_MISS,L2_CACHE_MISS_RATE,AMAT
2,128,369215,0.487515,204221,0.84159,408938,0.958675,388126,0.512485,38440,0.15841,17628,0.041325,7.028448
2,128,369215,0.487515,204298,0.841907,408617,0.958095,388126,0.512485,38363,0.158093,17872,0.041905,7.052078
2,128,541549,0.715066,210199,0.866225,229829,0.925782,215792,0.284934,32462,0.133775,18425,0.074218,5.325032
2,128,629440,0.831118,212096,0.874042,139326,0.879217,127901,0.168882,30565,0.125958,19140,0.120783,4.498653
2,128,677766,0.894928,211062,0.869781,91652,0.824401,79575,0.105072,31599,0.130219,19522,0.175599,4.063934
2,128,535298,0.683856,194759,0.896528,264055,0.978184,247466,0.316144,22478,0.103472,5889,0.021816,4.288337
2,128,535298,0.683856,195140,0.898282,263675,0.978157,247466,0.316144,22097,0.101718,5888,0.021843,4.284427
2,128,643849,0.822533,197762,0.910351,152465,0.962592,138915,0.177467,19475,0.089649,5925,0.037408,3.176398
2,128,698226,0.892001,197693,0.910034,98091,0.94244,84538,0.107999,19544,0.089966,5991,0.05756,2.639918
2,128,725020,0.926231,197083,0.907226,71884,0.922796,57744,0.073769,20154,0.092774,6014,0.077204,2.380378
2,128,597139,0.999715,211859,0.900884,23223,0.989097,170,0.000285,23309,0.099116,256,0.010903,1.312789
2,128,597139,0.999715,223605,0.950831,11477,0.978181,170,0.000285,11563,0.049169,256,0.021819,1.171692
2,128,597217,0.999846,229116,0.974265,5888,0.958333,92,0.000154,6052,0.025735,256,0.041667,1.104555
2,128,597245,0.999893,231609,0.984866,3361,0.927684,64,0.000107,3559,0.015134,262,0.072316,1.074993
2,128,597259,0.999916,231924,0.986206,3031,0.920158,50,8.4e-05,3244,0.013794,263,0.079842,1.071161
