SET_ASSOCIATIVITY,INSTRUCTION_CACHE_HITS,INSTRUCTION_CACHE_HIT_RATE,INSTRUCTION_CACHE_MISSES,INSTRUCTION_CACHE_MISS_RATE,DATA_CACHE_HITS,DATA_CACHE_HIT_RATE,DATA_CACHE_MISSES,DATA_CACHE_MISS_RATE,AMAT
1,673955,0.89,83386,0.11,125147,0.52,117514,0.48,21.09
2,677766,0.89,79575,0.11,132970,0.55,109691,0.45,19.93
4,677887,0.9,79454,0.1,135881,0.56,106780,0.44,19.62
8,678211,0.9,79130,0.1,137223,0.57,105438,0.43,19.46
16,678176,0.9,79165,0.1,138005,0.57,104656,0.43,19.38
32,678069,0.9,79272,0.1,138121,0.57,104540,0.43,19.38
1,721824,0.92,60940,0.08,124270,0.57,92967,0.43,16.39
2,725020,0.93,57744,0.07,131997,0.61,85240,0.39,15.3
4,725608,0.93,57156,0.07,134306,0.62,82931,0.38,15.01
8,724393,0.93,58371,0.07,135308,0.62,81929,0.38,15.03
16,722779,0.92,59985,0.08,135232,0.62,82005,0.38,15.2
32,723968,0.92,58796,0.08,134187,0.62,83050,0.38,15.18
1,545035,0.91,52274,0.09,118709,0.5,116459,0.5,21.27
2,597259,1.0,50,0.0,127996,0.54,107172,0.46,13.88
4,597249,1.0,60,0.0,129715,0.55,105453,0.45,13.67
8,597280,1.0,29,0.0,129715,0.55,105453,0.45,13.67
16,597280,1.0,29,0.0,129715,0.55,105453,0.45,13.67
32,597280,1.0,29,0.0,129715,0.55,105453,0.45,13.67
